NAME,COUNT,PCT2PRACE,PCTAIAN,PCTAPI,PCTBLACK,PCTHISPANIC,PCTWHITE,NAME
ASHLEE,114,0.0,0.0,0.0,1.754,0.877,97.368,ASHLEE
ASHLEIGH,88,0.0,0.0,0.0,2.273,1.136,96.591,ASHLEIGH
ASHLEY,2333,0.0,0.086,0.986,3.601,1.629,93.699,ASHLEY
ASHLIE,38,0.0,0.0,0.0,0.0,7.895,92.105,ASHLIE
ASHOK,169,0.592,1.183,79.29,0.0,0.592,18.343,ASHOK
ASHRAF,55,0.0,0.0,18.182,0.0,0.0,81.818,ASHRAF
ASHTON,34,0.0,2.941,0.0,14.706,0.0,82.353,ASHTON
ASHWIN,38,2.632,0.0,60.526,0.0,2.632,34.211,ASHWIN
ASIF,39,0.0,0.0,64.103,0.0,2.564,33.333,ASIF
ASIM,31,0.0,3.226,54.839,0.0,0.0,41.935,ASIM
ASMA,33,0.0,3.03,57.576,3.03,0.0,36.364,ASMA
ASTRID,60,0.0,0.0,6.667,1.667,16.667,75.0,ASTRID
ATHANASIOS,38,0.0,0.0,0.0,0.0,0.0,100.0,ATHANASIOS
ATHENA,102,0.0,0.0,3.922,3.922,6.863,85.294,ATHENA
ATUL,65,0.0,0.0,84.615,0.0,0.0,15.385,ATUL
AUBREY,196,0.0,0.51,3.061,10.714,1.531,84.184,AUBREY
AUDRA,190,0.0,0.526,0.0,6.842,4.737,87.895,AUDRA
AUDREY,1008,0.099,0.298,2.381,10.714,1.786,84.722,AUDREY
AUGUST,132,0.0,0.0,1.515,0.0,2.273,96.212,AUGUST
AUGUSTIN,33,0.0,0.0,6.061,12.121,48.485,33.333,AUGUSTIN
AUGUSTINE,88,0.0,0.0,13.636,23.864,26.136,36.364,AUGUSTINE
AUGUSTO,70,0.0,0.0,21.429,1.429,55.714,21.429,AUGUSTO
AUGUSTUS,37,0.0,0.0,5.405,21.622,0.0,72.973,AUGUSTUS
AURA,61,0.0,0.0,4.918,1.639,65.574,27.869,AURA
AUREA,32,0.0,0.0,31.25,0.0,62.5,6.25,AUREA
AURELIA,69,0.0,0.0,4.348,4.348,44.928,46.377,AURELIA
AURELIO,111,0.0,0.0,5.405,0.0,81.081,13.514,AURELIO
AURORA,204,0.0,0.0,20.588,2.451,50.98,25.98,AURORA
AUSTIN,394,0.508,0.0,5.076,5.076,0.254,89.086,AUSTIN
AUTUMN,164,0.0,0.0,1.22,1.829,1.22,95.732,AUTUMN
AVA,110,1.818,0.0,6.364,19.091,3.636,69.091,AVA
AVELINO,32,0.0,0.0,37.5,0.0,53.125,9.375,AVELINO
AVERY,87,0.0,0.0,2.299,24.138,0.0,73.563,AVERY
AVI,37,0.0,0.0,2.703,0.0,5.405,91.892,AVI
AVIS,48,0.0,0.0,0.0,33.333,0.0,66.667,AVIS
AVIVA,34,0.0,0.0,0.0,0.0,0.0,100.0,AVIVA
AXEL,33,0.0,0.0,0.0,9.091,24.242,66.667,AXEL
AYANNA,15,0.0,0.0,0.0,100.0,0.0,0.0,AYANNA
AZIZ,44,0.0,0.0,22.727,6.818,2.273,68.182,AZIZ
AZUCENA,42,0.0,0.0,9.524,0.0,80.952,9.524,AZUCENA
BA,18,0.0,0.0,100.0,0.0,0.0,0.0,BA
BABAK,34,0.0,0.0,5.882,2.941,0.0,91.176,BABAK
BABETTE,34,0.0,0.0,5.882,0.0,0.0,94.118,BABETTE
BAHMAN,31,3.226,0.0,9.677,3.226,0.0,83.871,BAHMAN
BAHRAM,36,0.0,0.0,8.333,0.0,0.0,91.667,BAHRAM
BAILEY,45,0.0,0.0,2.222,0.0,0.0,97.778,BAILEY
