name,Count!!RACE!!Total population,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Hispanic or Latino,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!White alone,Zip Code Area
ZCTA5 85920,677,24,7,0,2,0,79,563,85920
ZCTA5 85922,68,1,1,0,0,0,15,51,85922
ZCTA5 85923,499,13,3,0,0,0,26,449,85923
ZCTA5 85924,2851,143,39,3,5,10,272,2344,85924
ZCTA5 85925,4332,102,147,0,11,19,856,3182,85925
ZCTA5 85926,435,4,416,0,0,0,9,6,85926
ZCTA5 85927,176,6,5,0,0,0,25,140,85927
ZCTA5 85928,752,26,21,3,2,3,62,626,85928
ZCTA5 85929,8040,291,383,2,30,79,1291,5948,85929
ZCTA5 85930,1122,21,1024,1,3,1,51,21,85930
ZCTA5 85931,178,5,5,0,0,0,15,153,85931
ZCTA5 85932,481,10,1,0,2,0,28,440,85932
ZCTA5 85933,3639,87,60,4,10,17,365,3088,85933
ZCTA5 85934,601,20,1,2,1,0,24,552,85934
ZCTA5 85935,3945,168,467,6,19,35,469,2772,85935
ZCTA5 85936,4217,122,190,1,44,19,1034,2796,85936
ZCTA5 85937,8434,335,356,25,23,27,864,6766,85937
ZCTA5 85938,2100,64,80,0,3,8,535,1396,85938
ZCTA5 85939,4213,83,157,0,15,16,508,3429,85939
ZCTA5 85940,1580,48,62,0,6,3,168,1283,85940
ZCTA5 85941,10575,93,10223,2,6,47,87,110,85941
ZCTA5 85942,64,1,0,0,0,0,6,57,85942
ZCTA5 86001,37093,1826,2740,115,854,1128,6399,23865,86001
ZCTA5 86003,113,4,104,1,0,0,2,2,86003
ZCTA5 86004,38451,1785,5269,63,361,522,8187,22057,86004
ZCTA5 86005,16343,763,1434,13,172,328,2188,11335,86005
ZCTA5 86011,3499,169,128,21,121,84,858,2113,86011
ZCTA5 86015,1186,53,58,2,5,32,228,805,86015
ZCTA5 86016,59,1,56,0,0,0,2,0,86016
ZCTA5 86017,1131,26,13,0,2,7,82,992,86017
ZCTA5 86018,1121,32,28,6,16,3,67,959,86018
